,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Airport IATA,Year,Type ,Month ,Arrival/Departure,Destination_City ,Pax,ATMs,,,,,,,,
,DMM,2025,International,Jul,Arrival,Baku," 4,273 ", 30 ,,,,,,,,
,DMM,2025,International,Aug,Arrival,Baku," 4,709 ", 29 ,,,,,,,,
,DMM,2025,International,Sep,Arrival,Baku," 2,616 ", 24 ,,,,,,,,
,DMM,2025,International,Oct,Arrival,Baku," 1,670 ", 10 ,,,,,,,,
,DMM,2025,International,Jan,Departure,Baku," 1,064 ", 8 ,,,,,,,,
,DMM,2025,International,Feb,Departure,Baku," 1,090 ", 8 ,,,,,,,,
,DMM,2025,International,Mar,Departure,Baku, 494 , 6 ,,,,,,,,
,DMM,2025,International,Apr,Departure,Baku," 1,388 ", 9 ,,,,,,,,
,DMM,2025,International,May,Departure,Baku," 1,440 ", 9 ,,,,,,,,
,DMM,2025,International,Jun,Departure,Baku," 3,182 ", 25 ,,,,,,,,
,DMM,2025,International,Jul,Departure,Baku," 4,626 ", 30 ,,,,,,,,
,DMM,2025,International,Aug,Departure,Baku," 4,280 ", 29 ,,,,,,,,
,DMM,2025,International,Sep,Departure,Baku," 2,522 ", 24 ,,,,,,,,
,DMM,2025,International,Oct,Departure,Baku," 1,253 ", 9 ,,,,,,,,
,DMM,2025,International,Jan,Arrival,Bangalore," 1,948 ", 14 ,,,,,,,,
,DMM,2025,International,Feb,Arrival,Bangalore," 1,821 ", 12 ,,,,,,,,
,DMM,2025,International,Mar,Arrival,Bangalore," 1,589 ", 14 ,,,,,,,,
,DMM,2025,International,Apr,Arrival,Bangalore," 4,061 ", 30 ,,,,,,,,
,DMM,2025,International,May,Arrival,Bangalore," 1,624 ", 32 ,,,,,,,,
,DMM,2025,International,Jun,Arrival,Bangalore," 3,153 ", 29 ,,,,,,,,
,DMM,2025,International,Jul,Arrival,Bangalore," 3,578 ", 27 ,,,,,,,,
,DMM,2025,International,Aug,Arrival,Bangalore," 4,844 ", 31 ,,,,,,,,
,DMM,2025,International,Sep,Arrival,Bangalore," 4,853 ", 30 ,,,,,,,,
,DMM,2025,International,Oct,Arrival,Bangalore," 4,583 ", 28 ,,,,,,,,
,DMM,2025,International,Jan,Departure,Bangalore," 1,074 ", 14 ,,,,,,,,
,DMM,2025,International,Feb,Departure,Bangalore, 830 , 12 ,,,,,,,,
,DMM,2025,International,Mar,Departure,Bangalore," 1,302 ", 14 ,,,,,,,,
,DMM,2025,International,Apr,Departure,Bangalore," 3,510 ", 30 ,,,,,,,,
,DMM,2025,International,May,Departure,Bangalore," 4,303 ", 31 ,,,,,,,,
,DMM,2025,International,Jun,Departure,Bangalore," 4,402 ", 29 ,,,,,,,,
,DMM,2025,International,Jul,Departure,Bangalore," 4,274 ", 27 ,,,,,,,,
,DMM,2025,International,Aug,Departure,Bangalore," 3,067 ", 31 ,,,,,,,,
,DMM,2025,International,Sep,Departure,Bangalore," 2,565 ", 30 ,,,,,,,,
,DMM,2025,International,Oct,Departure,Bangalore," 4,329 ", 28 ,,,,,,,,
,DMM,2025,International,Jan,Arrival,Beirut," 1,974 ", 14 ,,,,,,,,
,DMM,2025,International,Feb,Arrival,Beirut," 1,320 ", 11 ,,,,,,,,
,DMM,2025,International,Mar,Arrival,Beirut," 1,158 ", 16 ,,,,,,,,
,DMM,2025,International,Apr,Arrival,Beirut," 2,283 ", 16 ,,,,,,,,
,DMM,2025,International,May,Arrival,Beirut," 1,098 ", 14 ,,,,,,,,
,DMM,2025,International,Jun,Arrival,Beirut," 1,828 ", 16 ,,,,,,,,
,DMM,2025,International,Jul,Arrival,Beirut," 1,958 ", 18 ,,,,,,,,
,DMM,2025,International,Aug,Arrival,Beirut," 2,916 ", 18 ,,,,,,,,
,DMM,2025,International,Sep,Arrival,Beirut," 1,871 ", 15 ,,,,,,,,
,DMM,2025,International,Oct,Arrival,Beirut," 1,111 ", 11 ,,,,,,,,
,DMM,2025,International,Jan,Departure,Beirut," 1,497 ", 14 ,,,,,,,,
,DMM,2025,International,Feb,Departure,Beirut," 1,329 ", 11 ,,,,,,,,
,DMM,2025,International,Mar,Departure,Beirut," 1,980 ", 16 ,,,,,,,,
,DMM,2025,International,Apr,Departure,Beirut," 1,255 ", 16 ,,,,,,,,
,DMM,2025,International,May,Departure,Beirut," 1,563 ", 14 ,,,,,,,,
,DMM,2025,International,Jun,Departure,Beirut," 2,413 ", 16 ,,,,,,,,
,DMM,2025,International,Jul,Departure,Beirut," 2,586 ", 18 ,,,,,,,,
,DMM,2025,International,Aug,Departure,Beirut," 1,308 ", 18 ,,,,,,,,
,DMM,2025,International,Sep,Departure,Beirut," 1,180 ", 15 ,,,,,,,,
,DMM,2025,International,Oct,Departure,Beirut, 902 , 11 ,,,,,,,,
,DMM,2025,International,Jan,Arrival,Mumbai," 17,613 ", 103 ,,,,,,,,
,DMM,2025,International,Feb,Arrival,Mumbai," 16,019 ", 92 ,,,,,,,,
,DMM,2025,International,Mar,Arrival,Mumbai," 15,222 ", 93 ,,,,,,,,
,DMM,2025,International,Apr,Arrival,Mumbai," 16,291 ", 103 ,,,,,,,,
,DMM,2025,International,May,Arrival,Mumbai," 13,768 ", 106 ,,,,,,,,
,DMM,2025,International,Jun,Arrival,Mumbai," 11,813 ", 97 ,,,,,,,,
,DMM,2025,International,Jul,Arrival,Mumbai," 15,196 ", 107 ,,,,,,,,
,DMM,2025,International,Aug,Arrival,Mumbai," 16,373 ", 104 ,,,,,,,,
,DMM,2025,International,Sep,Arrival,Mumbai," 16,208 ", 101 ,,,,,,,,
,DMM,2025,International,Oct,Arrival,Mumbai," 15,242 ", 99 ,,,,,,,,
,DMM,2025,International,Jan,Departure,Mumbai," 12,506 ", 103 ,,,,,,,,
,DMM,2025,International,Feb,Departure,Mumbai," 11,415 ", 92 ,,,,,,,,
,DMM,2025,International,Mar,Departure,Mumbai," 13,127 ", 92 ,,,,,,,,
,DMM,2025,International,Apr,Departure,Mumbai," 13,640 ", 103 ,,,,,,,,
,DMM,2025,International,May,Departure,Mumbai," 13,932 ", 105 ,,,,,,,,
,DMM,2025,International,Jun,Departure,Mumbai," 14,593 ", 97 ,,,,,,,,
,DMM,2025,International,Jul,Departure,Mumbai," 16,200 ", 107 ,,,,,,,,
,DMM,2025,International,Aug,Departure,Mumbai," 12,345 ", 104 ,,,,,,,,
,DMM,2025,International,Sep,Departure,Mumbai," 10,648 ", 102 ,,,,,,,,
,DMM,2025,International,Oct,Departure,Mumbai," 15,424 ", 98 ,,,,,,,,
,DMM,2025,International,Jan,Arrival,Cairo," 36,206 ", 215 ,,,,,,,,
,DMM,2025,International,Feb,Arrival,Cairo," 30,092 ", 186 ,,,,,,,,
,DMM,2025,International,Mar,Arrival,Cairo," 20,824 ", 217 ,,,,,,,,
,DMM,2025,International,Apr,Arrival,Cairo," 37,247 ", 236 ,,,,,,,,
,DMM,2025,International,May,Arrival,Cairo," 27,203 ", 266 ,,,,,,,,
,DMM,2025,International,Jun,Arrival,Cairo," 35,964 ", 304 ,,,,,,,,
,DMM,2025,International,Jul,Arrival,Cairo," 47,275 ", 292 ,,,,,,,,
,DMM,2025,International,Aug,Arrival,Cairo," 54,107 ", 301 ,,,,,,,,
,DMM,2025,International,Sep,Arrival,Cairo," 47,274 ", 269 ,,,,,,,,
,DMM,2025,International,Oct,Arrival,Cairo," 39,432 ", 243 ,,,,,,,,
,DMM,2025,International,Jan,Departure,Cairo," 27,229 ", 213 ,,,,,,,,
,DMM,2025,International,Feb,Departure,Cairo," 29,639 ", 186 ,,,,,,,,
,DMM,2025,International,Mar,Departure,Cairo," 32,976 ", 216 ,,,,,,,,
,DMM,2025,International,Apr,Departure,Cairo," 35,361 ", 237 ,,,,,,,,
,DMM,2025,International,May,Departure,Cairo," 42,038 ", 269 ,,,,,,,,
,DMM,2025,International,Jun,Departure,Cairo," 48,116 ", 307 ,,,,,,,,
,DMM,2025,International,Jul,Departure,Cairo," 46,004 ", 293 ,,,,,,,,
,DMM,2025,International,Aug,Departure,Cairo," 32,704 ", 294 ,,,,,,,,
,DMM,2025,International,Sep,Departure,Cairo," 33,242 ", 268 ,,,,,,,,
,DMM,2025,International,Oct,Departure,Cairo," 29,886 ", 242 ,,,,,,,,
,DMM,2025,International,Jan,Arrival,Calicut," 11,132 ", 62 ,,,,,,,,
,DMM,2025,International,Feb,Arrival,Calicut," 10,317 ", 51 ,,,,,,,,
,DMM,2025,International,Mar,Arrival,Calicut," 7,908 ", 62 ,,,,,,,,
,DMM,2025,International,Apr,Arrival,Calicut," 8,472 ", 60 ,,,,,,,,
,DMM,2025,International,May,Arrival,Calicut," 5,066 ", 62 ,,,,,,,,
,DMM,2025,International,Jun,Arrival,Calicut," 5,926 ", 57 ,,,,,,,,
,DMM,2025,International,Jul,Arrival,Calicut," 9,786 ", 62 ,,,,,,,,
,DMM,2025,International,Aug,Arrival,Calicut," 9,176 ", 53 ,,,,,,,,
,DMM,2025,International,Sep,Arrival,Calicut," 11,024 ", 60 ,,,,,,,,
,DMM,2025,International,Oct,Arrival,Calicut," 4,804 ", 27 ,,,,,,,,
,DMM,2025,International,Jan,Departure,Calicut," 7,503 ", 62 ,,,,,,,,
,DMM,2025,International,Feb,Departure,Calicut," 5,915 ", 51 ,,,,,,,,
,DMM,2025,International,Mar,Departure,Calicut," 6,914 ", 61 ,,,,,,,,
,DMM,2025,International,Apr,Departure,Calicut," 10,777 ", 60 ,,,,,,,,
,DMM,2025,International,May,Departure,Calicut," 11,043 ", 63 ,,,,,,,,
,DMM,2025,International,Jun,Departure,Calicut," 8,194 ", 56 ,,,,,,,,
,DMM,2025,International,Jul,Departure,Calicut," 10,779 ", 62 ,,,,,,,,
,DMM,2025,International,Aug,Departure,Calicut," 6,805 ", 54 ,,,,,,,,
,DMM,2025,International,Sep,Departure,Calicut," 5,717 ", 59 ,,,,,,,,
,DMM,2025,International,Oct,Departure,Calicut," 4,900 ", 28 ,,,,,,,,
,DMM,2025,International,Jan,Arrival,Chennai," 1,090 ", 8 ,,,,,,,,
,DMM,2025,International,Feb,Arrival,Chennai," 1,069 ", 8 ,,,,,,,,
,DMM,2025,International,Mar,Arrival,Chennai, 887 , 9 ,,,,,,,,
,DMM,2025,International,Apr,Arrival,Chennai," 1,883 ", 13 ,,,,,,,,
,DMM,2025,International,May,Arrival,Chennai," 1,378 ", 14 ,,,,,,,,
,DMM,2025,International,Jun,Arrival,Chennai," 1,943 ", 19 ,,,,,,,,
,DMM,2025,International,Jul,Arrival,Chennai," 2,378 ", 23 ,,,,,,,,
,DMM,2025,International,Aug,Arrival,Chennai," 3,315 ", 21 ,,,,,,,,
