,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Airport IATA,Year,Type ,Month ,Arrival/Departure,Destination_City ,Pax,ATMs,,,,,,,,
,DMM,2025,Domestic,Mar,Arrival,Najran," 5,874 ", 66 ,,,,,,,,
,DMM,2025,Domestic,Apr,Arrival,Najran," 10,816 ", 78 ,,,,,,,,
,DMM,2025,Domestic,May,Arrival,Najran," 9,932 ", 83 ,,,,,,,,
,DMM,2025,Domestic,Jun,Arrival,Najran," 9,421 ", 68 ,,,,,,,,
,DMM,2025,Domestic,Jul,Arrival,Najran," 9,853 ", 73 ,,,,,,,,
,DMM,2025,Domestic,Aug,Arrival,Najran," 11,854 ", 67 ,,,,,,,,
,DMM,2025,Domestic,Sep,Arrival,Najran," 9,475 ", 73 ,,,,,,,,
,DMM,2025,Domestic,Oct,Arrival,Najran," 9,693 ", 71 ,,,,,,,,
,DMM,2025,Domestic,Jan,Departue ,Najran," 9,903 ", 76 ,,,,,,,,
,DMM,2025,Domestic,Feb,Departue ,Najran," 8,013 ", 68 ,,,,,,,,
,DMM,2025,Domestic,Mar,Departue ,Najran," 9,318 ", 66 ,,,,,,,,
,DMM,2025,Domestic,Apr,Departue ,Najran," 9,232 ", 81 ,,,,,,,,
,DMM,2025,Domestic,May,Departue ,Najran," 10,773 ", 83 ,,,,,,,,
,DMM,2025,Domestic,Jun,Departue ,Najran," 10,728 ", 68 ,,,,,,,,
,DMM,2025,Domestic,Jul,Departue ,Najran," 12,447 ", 73 ,,,,,,,,
,DMM,2025,Domestic,Aug,Departue ,Najran," 9,899 ", 67 ,,,,,,,,
,DMM,2025,Domestic,Sep,Departue ,Najran," 7,572 ", 73 ,,,,,,,,
,DMM,2025,Domestic,Oct,Departue ,Najran," 9,214 ", 71 ,,,,,,,,
,DMM,2025,Domestic,Jan,Arrival,Neom," 1,870 ", 22 ,,,,,,,,
,DMM,2025,Domestic,Feb,Arrival,Neom," 1,559 ", 19 ,,,,,,,,
,DMM,2025,Domestic,Mar,Arrival,Neom," 1,906 ", 26 ,,,,,,,,
,DMM,2025,Domestic,Apr,Arrival,Neom," 1,577 ", 25 ,,,,,,,,
,DMM,2025,Domestic,May,Arrival,Neom," 2,194 ", 28 ,,,,,,,,
,DMM,2025,Domestic,Jun,Arrival,Neom," 1,332 ", 21 ,,,,,,,,
,DMM,2025,Domestic,Jul,Arrival,Neom," 2,056 ", 27 ,,,,,,,,
,DMM,2025,Domestic,Aug,Arrival,Neom," 1,731 ", 31 ,,,,,,,,
,DMM,2025,Domestic,Sep,Arrival,Neom," 1,363 ", 21 ,,,,,,,,
,DMM,2025,Domestic,Oct,Arrival,Neom," 1,671 ", 22 ,,,,,,,,
,DMM,2025,Domestic,Jan,Departue ,Neom," 2,002 ", 22 ,,,,,,,,
,DMM,2025,Domestic,Feb,Departue ,Neom," 1,646 ", 20 ,,,,,,,,
,DMM,2025,Domestic,Mar,Departue ,Neom," 1,546 ", 26 ,,,,,,,,
,DMM,2025,Domestic,Apr,Departue ,Neom," 1,944 ", 25 ,,,,,,,,
,DMM,2025,Domestic,May,Departue ,Neom," 2,136 ", 28 ,,,,,,,,
,DMM,2025,Domestic,Jun,Departue ,Neom," 1,419 ", 21 ,,,,,,,,
,DMM,2025,Domestic,Jul,Departue ,Neom," 1,821 ", 27 ,,,,,,,,
,DMM,2025,Domestic,Aug,Departue ,Neom," 2,044 ", 31 ,,,,,,,,
,DMM,2025,Domestic,Sep,Departue ,Neom," 1,268 ", 21 ,,,,,,,,
,DMM,2025,Domestic,Oct,Departue ,Neom," 1,409 ", 22 ,,,,,,,,
,DMM,2025,Domestic,Jan,Arrival,Red Sea," 1,011 ", 9 ,,,,,,,,
,DMM,2025,Domestic,Feb,Arrival,Red Sea, 457 , 8 ,,,,,,,,
,DMM,2025,Domestic,Mar,Arrival,Red Sea, 136 , 3 ,,,,,,,,
,DMM,2025,Domestic,Apr,Arrival,Red Sea," 1,771 ", 11 ,,,,,,,,
,DMM,2025,Domestic,May,Arrival,Red Sea, 127 , 4 ,,,,,,,,
,DMM,2025,Domestic,Jan,Departue ,Red Sea, 608 , 9 ,,,,,,,,
,DMM,2025,Domestic,Feb,Departue ,Red Sea, 463 , 8 ,,,,,,,,
,DMM,2025,Domestic,Mar,Departue ,Red Sea, 119 , 3 ,,,,,,,,
,DMM,2025,Domestic,Apr,Departue ,Red Sea, 392 , 8 ,,,,,,,,
,DMM,2025,Domestic,May,Departue ,Red Sea, 217 , 4 ,,,,,,,,
,DMM,2025,Domestic,Jan,Arrival,Riyadh," 82,043 ", 584 ,,,,,,,,
,DMM,2025,Domestic,Feb,Arrival,Riyadh," 64,647 ", 462 ,,,,,,,,
,DMM,2025,Domestic,Mar,Arrival,Riyadh," 49,047 ", 421 ,,,,,,,,
,DMM,2025,Domestic,Apr,Arrival,Riyadh," 71,774 ", 507 ,,,,,,,,
,DMM,2025,Domestic,May,Arrival,Riyadh," 75,997 ", 536 ,,,,,,,,
,DMM,2025,Domestic,Jun,Arrival,Riyadh," 63,864 ", 513 ,,,,,,,,
,DMM,2025,Domestic,Jul,Arrival,Riyadh," 67,731 ", 496 ,,,,,,,,
,DMM,2025,Domestic,Aug,Arrival,Riyadh," 74,611 ", 501 ,,,,,,,,
,DMM,2025,Domestic,Sep,Arrival,Riyadh," 68,932 ", 488 ,,,,,,,,
,DMM,2025,Domestic,Oct,Arrival,Riyadh," 84,029 ", 576 ,,,,,,,,
,DMM,2025,Domestic,Jan,Departue ,Riyadh," 81,214 ", 586 ,,,,,,,,
,DMM,2025,Domestic,Feb,Departue ,Riyadh," 66,262 ", 464 ,,,,,,,,
,DMM,2025,Domestic,Mar,Departue ,Riyadh," 53,765 ", 418 ,,,,,,,,
,DMM,2025,Domestic,Apr,Departue ,Riyadh," 70,320 ", 508 ,,,,,,,,
,DMM,2025,Domestic,May,Departue ,Riyadh," 77,716 ", 540 ,,,,,,,,
,DMM,2025,Domestic,Jun,Departue ,Riyadh," 66,001 ", 513 ,,,,,,,,
,DMM,2025,Domestic,Jul,Departue ,Riyadh," 74,210 ", 496 ,,,,,,,,
